# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
1.266032e+00 2.667369e+03 2.642452e+03 1.920910e+02 1.833957e+02
1.272316e+00 2.676070e+03 2.654362e+03 2.007916e+02 1.953057e+02
1.278604e+00 2.679378e+03 2.655501e+03 2.040997e+02 1.964446e+02
1.284887e+00 2.695529e+03 2.671793e+03 2.202511e+02 2.127367e+02
1.291175e+00 2.697096e+03 2.671995e+03 2.218181e+02 2.129382e+02
1.297466e+00 2.696951e+03 2.679349e+03 2.216732e+02 2.202924e+02
1.303742e+00 2.700880e+03 2.678172e+03 2.256016e+02 2.191149e+02
1.310017e+00 2.705665e+03 2.673848e+03 2.303871e+02 2.147910e+02
1.316301e+00 2.713074e+03 2.688734e+03 2.377961e+02 2.296776e+02
1.322587e+00 2.714435e+03 2.689323e+03 2.391572e+02 2.302661e+02
1.328865e+00 2.729371e+03 2.702543e+03 2.540928e+02 2.434861e+02
1.335145e+00 2.735544e+03 2.711185e+03 2.602657e+02 2.521285e+02
1.341441e+00 2.741821e+03 2.720897e+03 2.665423e+02 2.618407e+02
1.347731e+00 2.751185e+03 2.726027e+03 2.759064e+02 2.669702e+02
1.354002e+00 2.765991e+03 2.744127e+03 2.907128e+02 2.850703e+02
1.360283e+00 2.761850e+03 2.734825e+03 2.865716e+02 2.757684e+02
1.366566e+00 2.776014e+03 2.749031e+03 3.007362e+02 2.899748e+02
1.372851e+00 2.782777e+03 2.764244e+03 3.074988e+02 3.051874e+02
1.379135e+00 2.789785e+03 2.764133e+03 3.145073e+02 3.050767e+02
1.385410e+00 2.805644e+03 2.783039e+03 3.303660e+02 3.239826e+02
1.391699e+00 2.809332e+03 2.781527e+03 3.340541e+02 3.224703e+02
1.397984e+00 2.822438e+03 2.801995e+03 3.471598e+02 3.429383e+02
1.404268e+00 2.833766e+03 2.809155e+03 3.584879e+02 3.500983e+02
1.410555e+00 2.835408e+03 2.807815e+03 3.601296e+02 3.487581e+02
1.416838e+00 2.849981e+03 2.829308e+03 3.747024e+02 3.702513e+02
1.423118e+00 2.860261e+03 2.843545e+03 3.849826e+02 3.844888e+02
1.429398e+00 2.865322e+03 2.842337e+03 3.900436e+02 3.832799e+02
1.435687e+00 2.886891e+03 2.855598e+03 4.116133e+02 3.965412e+02
1.441977e+00 2.888473e+03 2.859911e+03 4.131945e+02 4.008539e+02
1.448254e+00 2.912622e+03 2.892864e+03 4.373441e+02 4.338075e+02
