# k pk_pkd pk_ref pk_pkd-SN pk_ref-SN
9.141744e-01 2.768408e+03 2.611574e+03 1.652786e+02 1.525177e+02
9.204631e-01 2.763268e+03 2.612070e+03 1.601388e+02 1.530133e+02
9.267434e-01 2.773483e+03 2.614623e+03 1.703533e+02 1.555667e+02
9.330324e-01 2.755476e+03 2.594605e+03 1.523466e+02 1.355485e+02
9.393266e-01 2.752509e+03 2.597107e+03 1.493791e+02 1.380501e+02
9.455975e-01 2.752234e+03 2.588900e+03 1.491041e+02 1.298435e+02
9.518660e-01 2.745256e+03 2.586600e+03 1.421265e+02 1.275434e+02
9.581413e-01 2.746596e+03 2.599925e+03 1.434663e+02 1.408678e+02
9.644351e-01 2.725984e+03 2.583297e+03 1.228540e+02 1.242405e+02
9.707356e-01 2.751039e+03 2.596451e+03 1.479098e+02 1.373944e+02
9.770081e-01 2.729733e+03 2.574759e+03 1.266035e+02 1.157021e+02
9.832823e-01 2.724815e+03 2.574508e+03 1.216856e+02 1.154508e+02
9.895570e-01 2.737899e+03 2.583254e+03 1.347693e+02 1.241973e+02
9.958456e-01 2.739083e+03 2.587053e+03 1.359540e+02 1.279959e+02
1.002136e+00 2.740412e+03 2.583602e+03 1.372825e+02 1.245451e+02
1.008405e+00 2.741679e+03 2.589927e+03 1.385497e+02 1.308704e+02
1.014694e+00 2.730221e+03 2.580630e+03 1.270916e+02 1.215730e+02
1.020993e+00 2.729936e+03 2.578362e+03 1.268063e+02 1.193051e+02
1.027274e+00 2.727881e+03 2.578832e+03 1.247516e+02 1.197749e+02
1.033559e+00 2.723606e+03 2.577308e+03 1.204768e+02 1.182515e+02
1.039848e+00 2.721811e+03 2.575107e+03 1.186820e+02 1.160499e+02
1.046127e+00 2.730568e+03 2.579402e+03 1.274383e+02 1.203456e+02
1.052403e+00 2.722496e+03 2.576137e+03 1.193661e+02 1.170805e+02
1.058681e+00 2.732979e+03 2.582619e+03 1.298499e+02 1.235618e+02
1.064964e+00 2.734476e+03 2.583417e+03 1.313464e+02 1.243606e+02
1.071257e+00 2.728642e+03 2.567347e+03 1.255124e+02 1.082902e+02
1.077544e+00 2.720897e+03 2.565826e+03 1.177680e+02 1.067696e+02
1.083825e+00 2.728919e+03 2.566211e+03 1.257894e+02 1.071544e+02
1.090108e+00 2.726608e+03 2.577273e+03 1.234784e+02 1.182163e+02
1.096390e+00 2.727361e+03 2.579968e+03 1.242316e+02 1.209108e+02
1.102681e+00 2.724690e+03 2.572654e+03 1.215602e+02 1.135973e+02
1.108963e+00 2.726853e+03 2.572188e+03 1.237235e+02 1.131314e+02
1.115225e+00 2.734870e+03 2.580285e+03 1.317403e+02 1.212282e+02
1.121502e+00 2.740504e+03 2.590697e+03 1.373745e+02 1.316400e+02
1.127793e+00 2.726615e+03 2.577807e+03 1.234854e+02 1.187502e+02
1.134090e+00 2.733511e+03 2.586140e+03 1.303813e+02 1.270837e+02
1.140364e+00 2.739736e+03 2.583624e+03 1.366063e+02 1.245677e+02
1.146639e+00 2.735459e+03 2.585396e+03 1.323293e+02 1.263392e+02
1.152942e+00 2.740177e+03 2.591987e+03 1.370472e+02 1.329307e+02
1.159229e+00 2.742645e+03 2.586417e+03 1.395151e+02 1.273602e+02
