# in Mpc/h Units 
# D1 = 1 
# k P N P(z=0)
0.159745 3055.8 924 3055.8
0.160428 2815.4 1080 2815.4
0.161255 3069.78 1008 3069.78
0.161989 3101.04 1128 3101.04
0.162879 2691.46 768 2691.46
0.1635 2705.48 1046 2705.48
0.164304 2898.88 1152 2898.88
0.16512 2847.29 1272 2847.29
0.165918 2730.72 912 2730.72
0.166638 2760.67 1200 2760.67
0.167465 2906.98 1080 2906.98
0.1681 2898.39 840 2898.39
0.169017 2785.18 1332 2785.18
0.169783 2865.74 1062 2865.74
0.170536 2773.27 1320 2773.27
0.17142 2951.73 1248 2951.73
0.172167 2657.11 1104 2657.11
0.173001 2654.66 1392 2654.66
0.173739 2874.19 776 2874.19
0.174601 2540.77 1728 2540.77
0.175449 2551.8 1224 2551.8
0.17633 2595.76 1254 2595.76
0.177179 2487.32 1368 2487.32
0.177982 2631.79 1236 2631.79
0.178748 2516.75 1608 2516.75
0.179662 2515.88 1008 2515.88
0.180329 2579.89 1488 2579.89
0.181298 2391.9 1440 2391.9
0.182161 2464.01 1158 2464.01
0.182962 2588.67 1824 2588.67
0.183819 2565.15 1464 2565.15
0.184763 2738.44 1448 2738.44
0.18557 2481.28 1560 2481.28
0.186484 2473.07 1428 2473.07
0.187347 2472 1680 2472
0.188277 2438.24 1494 2438.24
0.189164 2487.19 1944 2487.19
0.190083 2302.67 1368 2302.67
0.190912 2502.06 1584 2502.06
0.191791 2494.07 1776 2494.07
0.192627 2286.76 1440 2286.76
0.19355 2327.02 1968 2327.02
0.194476 2332.59 1374 2332.59
0.195383 2340.52 2100 2340.52
0.196314 2451.71 1640 2451.71
0.19731 2249.61 2496 2249.61
0.198246 2197.61 1248 2197.61
0.198969 2306.04 1512 2306.04
0.200004 2298.82 2280 2298.82
0.200981 2287.64 1926 2287.64
0.201907 2254.3 2064 2254.3
0.202923 2202.35 1920 2202.35
0.203766 2138.53 1944 2138.53
0.204817 2185.15 2172 2185.15
0.205802 2274.96 2256 2274.96
0.206744 2305.19 1736 2305.19
0.207695 2226.93 2094 2226.93
0.208661 2049.25 2328 2049.25
0.209635 2140.82 2256 2140.82
0.210605 2105.43 1920 2105.43
0.211552 2162.65 2520 2162.65
0.212598 2148.72 2088 2148.72
0.213716 2159.63 2634 2159.63
0.214685 2106.58 2328 2106.58
0.215636 2077.68 2304 2077.68
0.2167 1989.95 2568 1989.95
0.217712 1955.84 2024 1955.84
0.21856 1978.76 2352 1978.76
0.21964 2007.37 2718 2007.37
0.220689 2015.91 2520 2015.91
0.221792 1937.6 2772 1937.6
0.222806 1980.42 2640 1980.42
0.223891 2003.27 2880 2003.27
0.224992 1911.11 2448 1911.11
0.225967 1833.35 2478 1833.35
0.226978 1909.56 2904 1909.56
0.228073 1750.71 2816 1750.71
0.229091 1844.79 3024 1844.79
0.230305 1828.03 2952 1828.03
0.231358 1757.47 2796 1757.47
0.232405 1910.3 2982 1910.3
0.23355 1859.5 3312 1859.5
0.234601 1848.55 2688 1848.55
0.235688 1838.22 3144 1838.22
0.236855 1798.74 3672 1798.74
0.237877 1815.36 2328 1815.36
0.239086 1822.81 4046 1822.81
0.240233 1763.63 2844 1763.63
0.241291 1737.44 3600 1737.44
0.242431 1743.33 3264 1743.33
0.243572 1749.99 3288 1749.99
0.244685 1751.8 3198 1751.8
0.245798 1652.24 3864 1652.24
0.246976 1687.81 3456 1687.81
0.248127 1703.85 3744 1703.85
0.24936 1629.56 3876 1629.56
0.250523 1635.17 3392 1635.17
0.251669 1667.95 3918 1667.95
0.252872 1609.73 3864 1609.73
0.254083 1633.65 4104 1633.65
0.255199 1683.45 3480 1683.45
0.256387 1595.34 4080 1595.34
0.257664 1626.72 4170 1626.72
0.258855 1623.1 4176 1623.1
0.26008 1573.28 4560 1573.28
0.261336 1569.67 3656 1569.67
0.262469 1598.27 4344 1598.27
0.263809 1600.37 4830 1600.37
0.265071 1533.52 4416 1533.52
0.266256 1554.15 3876 1554.15
0.267421 1532.84 4752 1532.84
0.268761 1533.26 4968 1533.26
0.2701 1457.81 4494 1457.81
0.27124 1519.78 4200 1519.78
0.272568 1476.53 5792 1476.53
0.273851 1519.48 4224 1519.48
0.275155 1511.2 5220 1511.2
0.276427 1458.18 4590 1458.18
0.277657 1481.28 5328 1481.28
0.27902 1420.05 5304 1420.05
0.280352 1433.82 5040 1433.82
0.281565 1510.25 4920 1510.25
0.282918 1427.82 5750 1427.82
0.284302 1397.61 5388 1397.61
0.285589 1462.55 5784 1462.55
0.286971 1412.22 5400 1412.22
0.288304 1399.2 5640 1399.2
0.289695 1419.01 5934 1419.01
0.291035 1434.16 6120 1434.16
0.292425 1409.34 5544 1409.34
0.293779 1396.22 6164 1396.22
0.295153 1373.19 5838 1373.19
0.296461 1380.57 6144 1380.57
0.297907 1351.17 6288 1351.17
0.299258 1311.13 6576 1311.13
0.300748 1301.98 6504 1301.98
0.302188 1306.21 6594 1306.21
0.30361 1338.16 7008 1338.16
0.305003 1326.45 6200 1326.45
0.306412 1327.94 6768 1327.94
0.307876 1307.67 7182 1307.67
0.309298 1269.44 6864 1269.44
0.310761 1265.32 7308 1265.32
0.312204 1253.65 6744 1253.65
0.313652 1272.76 7686 1272.76
0.315175 1273.36 7280 1273.36
0.31662 1260.5 7920 1260.5
0.318151 1260.98 7560 1260.98
0.319599 1258.9 6948 1258.9
0.321058 1227.3 8430 1227.3
0.322645 1198.73 8328 1198.73
0.324166 1197.83 7824 1197.83
0.32568 1194.6 8160 1194.6
0.327167 1232.36 8030 1232.36
0.328774 1193.96 9372 1193.96
0.330313 1186.05 7968 1186.05
0.331826 1195.81 8568 1195.81
0.333427 1195.97 8934 1195.97
0.334947 1168.59 8952 1168.59
0.336524 1187.04 8880 1187.04
0.338146 1152.33 9548 1152.33
0.339739 1122.63 9126 1122.63
0.341313 1154.42 9384 1154.42
0.342874 1160.29 9288 1160.29
0.344468 1137.55 9792 1137.55
0.346116 1115.09 9570 1115.09
0.34771 1106.26 10376 1106.26
0.349362 1115.77 10152 1115.77
0.351033 1086.08 9960 1086.08
0.352646 1102.68 10782 1102.68
0.354377 1080.75 10992 1080.75
0.356063 1107.75 10452 1107.75
0.357696 1084.08 10806 1084.08
0.359426 1087.47 11312 1087.47
0.361079 1077.24 11112 1077.24
0.362754 1087.26 10848 1087.26
0.364449 1053.95 11394 1053.95
0.366133 1050.59 11952 1050.59
0.367846 1060.06 11352 1060.06
0.369601 1042.36 12584 1042.36
0.371397 1061.41 12390 1061.41
0.373143 1001.07 12252 1001.07
0.374848 1025.43 12240 1025.43
0.37663 1025.96 12486 1025.96
0.378363 1001.39 13080 1001.39
0.380139 991.747 12968 991.747
0.381916 998.676 12612 998.676
0.38369 1007.08 13974 1007.08
0.385541 1007.32 13944 1007.32
0.387327 983.006 12840 983.006
0.3891 984.177 14358 984.177
0.390994 997.692 14588 997.692
0.392843 981.939 14688 981.939
0.394661 966.35 13560 966.35
0.396505 957.607 15582 957.607
0.398367 962.148 14544 962.148
0.400233 941.581 15420 941.581
0.402152 950.376 15614 950.376
0.40399 951.053 14880 951.053
0.405874 933.783 16728 933.783
0.407843 947.412 15690 947.412
0.409716 935.999 16248 935.999
0.411602 930.67 16584 930.67
0.413596 907.504 16904 907.504
0.415548 915.681 17430 915.681
0.417499 911.394 16908 911.394
0.419429 906.866 17640 906.866
0.421439 887.268 17550 887.268
0.4234 894.05 18696 894.05
0.425408 901.356 17792 901.356
0.42739 892.841 18138 892.841
0.42937 875.839 19392 875.839
0.431414 893.284 18768 893.284
0.433421 882.236 19038 882.236
0.435438 884.695 19460 884.695
0.437444 862.609 19992 862.609
0.4396 860.058 21174 860.058
0.441671 862.677 20040 862.677
0.443727 859.893 20628 859.893
0.445802 870.518 20798 870.518
0.447878 831.637 21480 831.637
0.449991 837.392 21792 837.392
0.452114 834.859 21414 834.859
0.454235 825.669 23100 825.669
0.456374 840.994 21992 840.994
0.458534 825.403 23406 825.403
0.460666 825.589 22536 825.589
0.46284 816.775 24348 816.775
0.465042 825.777 23598 825.777
0.467214 813.247 24224 813.247
0.469406 808.016 24648 808.016
0.471626 803.051 24618 803.051
0.473743 791.141 24192 791.141
0.475977 792.27 26208 792.27
0.478226 789.871 25790 789.871
0.480485 788.153 26916 788.153
0.482752 780.903 26214 780.903
0.485019 780.152 27528 780.152
0.487306 778.81 27720 778.81
0.48961 772.642 27122 772.642
0.491868 768.948 28632 768.948
0.494198 769.147 28680 769.147
0.496522 765.467 28722 765.467
0.498833 747.993 30000 747.993
0.501204 745.713 29408 745.713
0.50355 745.807 30678 745.807
0.505916 752.74 30660 752.74
0.508313 741.634 31494 741.634
0.510704 730.945 31448 730.945
0.513084 731.651 32160 731.651
0.515543 729.898 33090 729.898
0.51795 744.251 32664 744.251
0.520364 727.049 32718 727.049
0.522793 727.977 34472 727.977
0.52526 705.379 34260 705.379
0.527713 713.579 34302 713.579
0.530156 717.137 35472 717.137
0.532669 715.604 36020 715.604
0.535188 711.436 36942 711.436
0.5377 696.933 36360 696.933
0.540241 702.445 38166 702.445
0.542756 695.793 36804 695.793
0.545284 697.712 38864 697.712
0.54787 698.072 39366 698.072
0.550466 683.087 40068 683.087
0.553028 681.777 38910 681.777
0.555606 683.237 41360 683.237
0.558224 672.373 40782 672.373
0.56083 666.639 42204 666.639
0.56345 671.236 41544 671.236
0.566114 661.442 44510 661.442
0.568794 661.514 42948 661.514
0.57145 667.991 44478 667.991
0.574166 653.748 46032 653.748
0.576877 650.827 44402 650.827
0.57954 655.415 46320 655.415
0.582264 644.845 46848 644.845
0.585017 641.6 47814 641.6
0.587762 639.368 48260 639.368
0.590569 638.027 49758 638.027
0.593327 634.403 49032 634.403
0.596104 632.13 49770 632.13
0.598885 631.246 51056 631.246
0.601688 622.89 51504 622.89
0.60453 619.137 52866 619.137
0.607362 615.67 52848 615.67
0.610229 624.178 54542 624.178
0.613094 610.208 54276 610.208
0.615957 615.23 55062 615.23
0.618839 610.781 56568 610.781
0.62177 604.815 57266 604.815
0.624688 607.329 58056 607.329
0.627616 598.257 57750 598.257
0.630554 598.152 60380 598.152
0.633541 595.173 60390 595.173
0.63652 596.02 61608 596.02
0.639512 587.081 61362 587.081
0.64251 586.086 63752 586.086
0.64554 590.769 63528 590.769
0.648554 584.141 64050 584.141
0.651549 584.419 64784 584.419
0.654649 575.557 68814 575.557
0.657741 572.594 66156 572.594
0.66081 571.592 68718 571.592
0.663899 571.519 69104 571.519
0.667047 568.654 71682 568.654
0.670183 561.876 70512 561.876
0.673306 560.482 72278 560.482
0.676483 555.326 74532 555.326
0.679687 552.837 74454 552.837
0.682871 549.605 75540 549.605
0.686079 549.043 76526 549.043
0.689314 546.383 78648 546.383
0.692548 546.674 77370 546.674
0.695723 545.967 78272 545.967
0.698997 539.42 82710 539.42
0.702314 536.559 82146 536.559
0.705609 536.325 83712 536.325
0.708938 539.134 84710 539.134
0.712273 532.149 86172 532.149
0.715624 528.6 86406 528.6
0.718964 527.553 88244 527.553
0.722353 526.782 89670 526.782
0.725741 516.497 90792 516.497
0.729184 519.409 93194 519.409
0.732605 519.748 92352 519.748
0.736035 517.229 94914 517.229
0.739481 509.986 95504 509.986
0.742951 509.106 97230 509.106
0.746441 506.922 98802 506.922
0.749957 506.585 100952 506.585
0.753469 504.843 99990 504.843
0.756983 499.573 103356 499.573
0.760565 500.841 105014 500.841
0.764149 496.444 106548 496.444
0.767736 493.178 106302 493.178
0.771306 493.949 108002 493.949
0.774926 495.771 111696 495.771
0.778598 487.848 112158 487.848
0.782245 485.662 113300 485.662
0.785923 485.28 115302 485.28
0.789616 481.831 117396 481.831
0.793312 479.148 117158 479.148
0.797042 478.565 121470 478.565
0.800776 477.041 120660 477.041
0.804553 471.784 125030 471.784
0.808343 469.908 125388 469.908
0.812158 467.579 128094 467.579
0.815959 463.066 127058 463.066
0.819781 462.01 132336 462.01
0.823648 460.708 132006 460.708
0.827505 457.977 134162 457.977
0.8314 459.382 137760 459.382
0.835324 454.318 137802 454.318
0.839214 455.123 139016 455.123
0.843171 453.434 144354 453.434
0.847141 449.415 142814 449.415
0.851084 445.929 145932 445.929
0.855081 445.215 148206 445.215
0.859091 442.14 150566 442.14
0.863128 439.923 152820 439.923
0.867194 441.386 155142 441.386
0.87127 435.759 157220 435.759
0.875368 436.131 159198 436.131
0.879473 432.377 160994 432.377
0.883606 432.547 164544 432.547
0.887753 428.699 165282 428.699
0.891919 427.647 168350 427.647
0.896109 426.944 171660 426.944
0.900336 422.504 173622 422.504
0.904563 419.958 175034 419.958
0.908805 420.913 178512 420.913
0.913051 415.963 178646 415.963
0.917348 414.927 185466 414.927
0.921672 415.848 185382 415.848
0.925992 414.382 188252 414.382
0.930354 410.407 192126 410.407
0.93473 405.892 193562 405.892
0.939107 406.535 196176 406.535
0.943526 402.201 200130 402.201
0.947959 400.289 201326 400.289
0.952394 400.776 204972 400.776
0.956874 397.163 208406 397.163
0.961345 398.331 208362 398.331
0.965874 394.291 217662 394.291
0.970451 391.849 217124 391.849
0.974982 390.001 217446 390.001
0.979556 390.272 224690 390.272
0.984147 386.312 224058 386.312
0.988771 386.115 231848 386.115
0.993453 383.216 233994 383.216
0.998112 384.436 234198 384.436
1.00278 380.615 239708 380.615
1.00751 378.191 243630 378.191
1.01226 378.101 247010 378.101
1.01699 376.186 246414 376.186
1.02174 374.422 253772 374.422
1.02654 372.887 256902 372.887
1.03137 369.584 261066 369.584
1.03624 366.039 265958 366.039
1.0411 366.303 265098 366.303
1.04596 365.452 271424 365.452
1.05088 361.138 276858 361.138
1.05585 359.807 281186 359.807
1.06082 360.596 282918 360.596
1.06577 356.475 285146 356.475
1.07077 356.152 293280 356.152
1.07581 353.971 294602 353.971
